pdb,resolution,year,target,value,unit,precision,chains,number_of_chains,coefficient,logM
1fc2,2.8,1981,Kd,22.5,nM,=,"C,D,A",3.0,1e-08,-6.647817481888637
3sgb,1.8,1983,Kd,17.9,pM,=,,,1e-11,-9.747146969020108
2tgp,1.9,1983,Kd,2.4,uM,=,,,1e-05,-4.619788758288394
2ptc,1.9,1983,Kd,60.0,fM,=,,,1e-14,-12.221848749616356
2sni,2.1,1988,Kd,2.0,pM,=,,,1e-11,-10.698970004336019
1atn,2.8,1992,Kd,0.45,nM,=,"A,D,B",3.0,1e-08,-8.346787486224656
1gla,2.6,1993,Kd,0.18,uM,=,"F,G",2.0,1e-05,-5.7447274948966935
1acb,2.0,1993,Kd,0.2,nM,=,"E,I",2.0,1e-08,-8.698970004336019
2pcc,2.3,1993,Kd,1.6,uM,=,,,1e-05,-4.795880017344075
2pcb,2.8,1993,Kd,10.0,uM,=,,,1e-05,-4.0
2sic,1.8,1993,Kd,71.2,pM,=,,,1e-11,-9.147520006363143
2cpk,2.7,1993,Ki,2.3,nM,=,,,1e-08,-7.638272163982407
2iff,2.65,1994,Kd,10.0,nM,=,,,1e-08,-7.0
1brs,2.0,1994,Kd,13.0,fM,=,"A,B,C,D,E,F",6.0,1e-14,-12.886056647693163
2btf,2.55,1994,Kd,2.3,uM,=,,,1e-05,-4.638272163982407
1vfb,1.8,1994,Kd,3.03,nM,=,"A,B,C",3.0,1e-08,-7.518557371497695
1hrt,2.8,1994,Kd,3.0,pM,=,"L,H,I",3.0,1e-11,-10.522878745280337
1ppe,2.0,1994,Kd,3.0,pM,=,"E,I",2.0,1e-11,-10.522878745280337
2mta,2.4,1994,Kd,4.5,uM,=,,,1e-05,-4.346787486224656
1nca,2.5,1994,Kd,8.3,nM,=,"N,L,H,A",4.0,1e-08,-7.080921907623926
1smf,2.1,1994,Ki,0.12,uM,=,"E,I",2.0,1e-05,-5.920818753952375
1ihs,2.0,1994,Ki,0.3,nM,=,"L,H,I",3.0,1e-08,-8.522878745280337
1nsn,2.8,1995,Kd,0.1,nM,=,"L,H,S",3.0,1e-08,-9.0
1bql,2.6,1995,Kd,0.1,uM,=,"L,H,Y",3.0,1e-05,-6.0
1nma,3.0,1995,Kd,14.0,nM,=,"N,L,H,A",4.0,1e-08,-6.853871964321762
